"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18102","PA","Allentown-Bethlehem-Easton, PA-NJ",3546,67,16.504854368932,79,2.35294117647059,8.35862068965517
"Zip","18042","PA","Allentown-Bethlehem-Easton, PA-NJ",3790,67,21.1864406779661,77.5,3.82352941176471,8.35862068965517
"Zip","18017","PA","Allentown-Bethlehem-Easton, PA-NJ",3878,67,19.0184049079755,70,1.76470588235294,8.35862068965517
"Zip","18018","PA","Allentown-Bethlehem-Easton, PA-NJ",4522,67,27.3972602739726,67,4.85294117647059,8.35862068965517
"Zip","07840","NJ","Allentown-Bethlehem-Easton, PA-NJ",5456,67,20.6008583690987,91,6.32352941176471,8.35862068965517
"Zip","08865","NJ","Allentown-Bethlehem-Easton, PA-NJ",5513,67,17.8438661710037,114,6.32352941176471,8.35862068965517
"Zip","18015","PA","Allentown-Bethlehem-Easton, PA-NJ",5779,67,16.875,77,2.05882352941176,8.35862068965517
"Zip","18052","PA","Allentown-Bethlehem-Easton, PA-NJ",5862,67,18.1034482758621,63.5,0.882352941176471,8.35862068965517
"Zip","18045","PA","Allentown-Bethlehem-Easton, PA-NJ",5981,67,26.9461077844311,71,5.58823529411765,8.35862068965517
"Zip","18064","PA","Allentown-Bethlehem-Easton, PA-NJ",6922,67,30.2521008403361,75,7.94117647058824,8.35862068965517
"Zip","18062","PA","Allentown-Bethlehem-Easton, PA-NJ",6932,67,24.4604316546763,64,3.23529411764706,8.35862068965517
"Zip","18067","PA","Allentown-Bethlehem-Easton, PA-NJ",7945,67,23.7623762376238,68,3.52941176470588,8.35862068965517
"Zip","18235","PA","Allentown-Bethlehem-Easton, PA-NJ",8086,67,22.5,134,10,8.35862068965517
"Zip","18049","PA","Allentown-Bethlehem-Easton, PA-NJ",8162,67,28.735632183908,71.5,7.35294117647059,8.35862068965517
"Zip","18020","PA","Allentown-Bethlehem-Easton, PA-NJ",8166,67,20.952380952381,80,4.85294117647059,8.35862068965517
"Zip","18109","PA","Allentown-Bethlehem-Easton, PA-NJ",8408,67,13.2075471698113,67.5,0.294117647058824,8.35862068965517
"Zip","18013","PA","Allentown-Bethlehem-Easton, PA-NJ",8488,67,25.531914893617,95,9.70588235294118,8.35862068965517
"Zip","18040","PA","Allentown-Bethlehem-Easton, PA-NJ",8986,67,25,81,8.23529411764706,8.35862068965517
"Zip","07882","NJ","Allentown-Bethlehem-Easton, PA-NJ",9244,67,22.9299363057325,106,9.41176470588235,8.35862068965517
"Zip","18036","PA","Allentown-Bethlehem-Easton, PA-NJ",9565,67,21.505376344086,97,7.64705882352941,8.35862068965517
