Zip,Median_Value_Per_SQFT_2017-09_to_2018_08_avg,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,Sale_Price_2017-08_to_2018-07_avg
30022,151.5833333,14.7925,359708.3333
23666,109.5,11.62416667,163658.3333
20878,265.0833333,17.66833333,
72401,71.66666667,9.794166667,
85705,111.4166667,11.65916667,127688.8889
87121,106.8333333,10.445,
11218,711.6666667,27.66666667,
20019,274.6666667,13.24833333,272575
90011,316.8333333,14.05166667,
33027,161.8333333,12.03916667,
11223,664.6666667,32.33833333,
34953,120.3333333,12.08166667,
8831,184.3333333,12.43833333,268533.3333
58103,152,12.20416667,
43701,78.66666667,10.545,
90027,785.9166667,24.83,
90025,641.3333333,20.305,954700
44077,89.33333333,10.09166667,134766.6667
10021,1481.333333,25.77333333,1268991.667
91710,286.5833333,17.74416667,470408.3333
20147,232.1666667,16.78833333,447008.3333
94544,487.75,18.93,607208.3333
77082,88,10.06333333,
60616,237.1666667,12.72083333,305950
19124,73.16666667,7.500833333,77083.33333
43228,104.4166667,9.389166667,130716.6667
55901,192.6666667,13.02166667,
97402,186.9166667,14.825,
33313,74.58333333,5.17,73175
30004,157.6666667,14.78916667,367425
95051,980.6666667,33.24166667,
30127,103.9166667,11.59083333,189500
35242,139.9166667,13.74416667,326641.6667
75150,103.9166667,9.800833333,
23452,151.5,13.58916667,
90731,422.6666667,18.48083333,557575
77840,116.25,10.355,
91335,374.8333333,16.38833333,512891.6667
93727,142.1666667,14.90583333,258233.3333
71913,85.66666667,11.16416667,
80015,204.5833333,15.1525,374200
29464,234.75,15.41,443866.6667
27713,130,13.43666667,
80525,224.0833333,17.6125,
43068,103.25,10.06583333,163766.6667
37128,130.3333333,13.61333333,231650
32225,126.0833333,13.46916667,216366.6667
95687,253.3333333,16.82,
27284,96.33333333,11.35833333,163858.3333
63123,133,10.69916667,147741.6667
40601,312.25,10.58583333,
85251,204.5,15.31833333,281250
60622,447.5,14.7975,
42101,89.66666667,11.43583333,
93536,165.8333333,13.5875,338500
78501,71.75,8.523333333,
93550,174.1666667,12.64333333,253875
23223,103.0833333,10.63083333,
33319,86.58333333,6.545833333,103708.3333
21215,79.08333333,6.7025,
11208,352.9166667,18.09,
73160,92.91666667,9.9575,136883.3333
77007,188.4166667,12.055,391383.3333
94509,254.5,15.21166667,
98115,493.6666667,25.02583333,
77057,153.1666667,11.34416667,
32828,131.5,13.91583333,275391.6667
89123,161.9166667,16.35583333,275683.3333
7087,242.5833333,14.27083333,
60615,246.4166667,10.6575,
30135,88.66666667,10.70666667,165133.3333
45601,82.75,9.915,
93535,147.9166667,11.80583333,236075
27703,106.8333333,11.36583333,
23451,226.75,16.36166667,377125
14221,127.1666667,11.27,
19446,161.5833333,13.1975,280808.3333
98682,195.6666667,14.94916667,310341.6667
76116,113.5,10.75583333,
89031,136.1666667,15.5275,235183.3333
94122,948.75,28.22666667,1432500
21122,214.1666667,13.775,287625
93306,123,12.68333333,
11225,695.9166667,31.44833333,
78249,109,11.18583333,201600
33321,144,9.9675,181241.6667
95758,216.8333333,17.41416667,379558.3333
37064,184.5,14.745,430450
60641,231.9166667,13.09583333,291858.3333
75043,106,10.47916667,196375
2301,190.3333333,13.25416667,269083.3333
14580,117.25,9.031666667,194008.3333
60453,143.75,9.879166667,
19020,155.5833333,12.60916667,238566.6667
60660,318.4166667,10.0375,229775
11204,599.5833333,32.765,
93257,127.3333333,13.7625,
19720,127.25,12.2225,
27707,135.5,13.22333333,
66061,140.4166667,11.15666667,
19120,75,7.72,78933.33333
31419,94.41666667,10.845,
29445,112.25,11.21583333,175341.6667
93274,131.4166667,13.7375,
33467,153.6666667,11.85333333,252466.6667
93307,122.5,11.96083333,177058.3333
95035,664.25,26.97916667,1002100
77521,89.5,9.41,176383.3333
21222,119.75,8.58,
85282,158.75,14.97083333,254616.6667
10032,720.4166667,25.86916667,
22204,366.8333333,17.5625,443858.3333
20874,213.75,13.435,283508.3333
93309,129.8333333,12.86583333,193858.3333
93230,137.5,14.03916667,
11219,578.5,32.55083333,
37122,151,14.07,
75002,125.6666667,13.2225,279166.6667
92630,382.3333333,18.90916667,687841.6667
94541,448.1666667,18.96916667,593791.6667
46143,95.16666667,10.2875,
60056,207.9166667,12.78916667,278725
29223,82.58333333,9.139166667,123416.6667
90802,452.0833333,15.495,
98133,370.5,20.87,544416.6667
33157,173.3333333,12.765,309975
32246,119.5833333,11.90583333,169700
29681,106.75,12.04833333,236425
94538,664.75,25.2075,934875
95076,389.25,17.34916667,
31088,75.66666667,10.06666667,
85142,129.8333333,16.02,291025
28216,95.5,10.705,157283.3333
28601,93.33333333,11.21666667,
60085,91.08333333,7.484166667,115433.3333
11213,517.75,32.84333333,
37167,132.5,12.9175,207725
30253,81,10.39416667,
32792,144.5833333,12.99166667,227725
78758,175.8333333,13.32416667,
20020,260.9166667,12.89666667,272533.3333
31907,48.66666667,9.15,
38655,116.0833333,11.035,
36117,78.75,10.7625,
90631,372.0833333,18.31583333,561616.6667
99208,185.0833333,14.565,245091.6667
48823,119.3333333,10.41833333,
37066,143.4166667,12.68833333,248633.3333
63021,147.0833333,12.4125,
92647,459.5,20.22666667,724641.6667
98122,583.5,22.94833333,749475
