Zip,PctPriceCut,DaysOnMarket,BuyerSellerIndex
12009,17.5,96,7.714285714
12077,20,80.5,5.428571429
12822,23.80952381,118,10
12090,11.29032258,146,6.285714286
12123,7.5,84,1.142857143
87114,23.17880795,68,3.2
87111,24.42748092,61,1.6
87120,31.33802817,73,8.8
87121,14.72222222,63,0.4
87124,19.1011236,65,0.8
87109,26.76056338,57,2.8
87112,29.61672474,66,8
87105,18.4079602,82,4
87123,25.47528517,64,3.6
87110,27.89855072,66,7.2
87108,27.0718232,88,9.6
87031,16.99716714,76,2.4
87144,20.49689441,66.5,1.2
87107,23.42857143,74,6
87106,24.3902439,71.5,5.6
87102,21.66666667,91,7.6
87002,15.42553191,96,4.4
87122,22.94117647,80,6.8
87113,35.82089552,60,6.4
87104,22.44897959,74.5,5.2
87004,16.4556962,94,4.8
87048,21.21212121,96.5,8.4
87059,26.59574468,87.5,9.2
87043,25,107,10
87047,16.66666667,79,2
18103,14.5,65,0.588235294
18104,20,72,2.941176471
18102,16.50485437,79,2.352941176
18042,21.18644068,77.5,3.823529412
18017,19.01840491,70,1.764705882
18018,27.39726027,67,4.852941176
7840,20.60085837,91,6.323529412
8865,17.84386617,114,6.323529412
18015,16.875,77,2.058823529
18052,18.10344828,63.5,0.882352941
18045,26.94610778,71,5.588235294
18064,30.25210084,75,7.941176471
18062,24.46043165,64,3.235294118
18067,23.76237624,68,3.529411765
18235,22.5,134,10
18049,28.73563218,71.5,7.352941176
18020,20.95238095,80,4.852941176
18109,13.20754717,67.5,0.294117647
18013,25.53191489,95,9.705882353
18040,25,81,8.235294118
7882,22.92993631,106,9.411764706
18036,21.50537634,97,7.647058824
18055,13.69863014,75.5,1.176470588
18080,17.77777778,98,4.411764706
18071,14,88,2.647058824
18031,22.72727273,73,4.117647059
18229,14.04958678,146.5,5.294117647
18210,17.88321168,110.5,6.764705882
18088,25,85,8.529411765
7825,22.13740458,116,9.117647059
7823,18.88888889,99,5.882352941
18034,16.66666667,76,1.470588235
18072,26.53061224,83.5,8.823529412
8886,20.58823529,98,7.058823529
79109,28.99022801,70,6.363636364
79106,26.08695652,74,7.272727273
79107,21.73913043,113,10
79118,20.44444444,80,2.727272727
79015,18.56287425,73,0.909090909
79119,23.07692308,81,9.090909091
79110,24.74226804,69,1.818181818
79108,19.04761905,106,4.545454545
79124,20,101,5.454545455
79102,33.33333333,64,3.636363636
79121,22.3880597,83.5,8.181818182
99504,29.15451895,85,9.230769231
99507,24.56647399,70,2.307692308
99508,24.47916667,107,8.461538462
99654,21.875,88,4.615384615
99645,18.12297735,71.5,0.769230769
99577,27.32240437,77,5.384615385
99502,28.25112108,80,6.923076923
99501,19.75308642,126.5,6.153846154
99515,23.65591398,76,3.846153846
99516,22.30769231,66,1.538461538
99517,18.25396825,81,3.076923077
99518,44.33962264,76,7.692307692
99567,29.35779817,93,10
48197,18.99641577,52,2.5
48103,19.38534279,51,1.666666667
48198,12.85714286,50,0.833333333
48104,18.08510638,56.5,5
48105,18.27956989,55,3.75
48108,22.44897959,54,8.333333333
48176,17.87709497,59.5,5.833333333
48130,14.20765027,60,3.75
48189,22,56,9.166666667
48118,15.87301587,66,7.5
48160,19.48051948,69,10
48158,14.03508772,82,6.666666667
28806,23.07692308,58,3.6
28803,21.76470588,62,3.2
28792,16.66666667,59,1.2
28715,26.58959538,72.5,8.4
28786,12.70491803,104,2.8
28804,21.55963303,71,4
28787,23.75690608,83,9.2
28704,21.69312169,71.5,4.8
28739,14.4200627,79,2.4
28805,30.98591549,74,8.8
28716,20.16129032,83,6.4
28732,13.92405063,55,0.4
28801,15.32258065,72,2
28711,22.3880597,86,8
28791,16.57142857,64,1.6
28748,21.59090909,114.5,9.6
28753,17.56756757,91,7.2
28721,16.03773585,86,5.2
28778,23.4375,63,6
28731,13.20754717,72,0.8
28730,23.07692308,108,10
28754,14.28571429,105.5,5.6
28785,14.54545455,109,7.6
28759,23.68421053,64,6.8
28751,13.8121547,92,4.4
30349,10.11235955,80,4.675324675
30044,15.28301887,52,1.558441558
30043,19.28687196,50,3.571428571
30096,20.74468085,51.5,4.545454545
30024,20.44063647,57,6.103896104
30281,9.589041096,59,1.298701299
30040,20.84257206,61,7.857142857
30188,17.10296684,50,2.337662338
30318,12.42105263,48.5,0.649350649
30080,19.02834008,56,4.935064935
30052,19.20731707,64,8.441558442
30041,25.93123209,63,9.415584416
30062,24.5243129,56,7.662337662
30331,14.36619718,77,6.493506494
30022,21.57894737,57,7.077922078
30004,20.33707865,58,6.363636364
30127,16.01731602,56,2.857142857
30135,15.89648799,63,5.12987013
30253,9.851301115,80,4.285714286
30263,13.33333333,68,4.480519481
30066,26.06837607,51,6.753246753
30101,20.32520325,48,3.311688312
30058,10.1369863,66.5,3.051948052
30047,16.83417085,51,2.597402597
30083,13.65079365,59,2.467532468
30075,22.26027397,63.5,9.155844156
30067,23.63013699,50,5.519480519
30144,14.28571429,47,0.909090909
30319,20,57,5.714285714
30114,18.26568266,63,7.012987013
30016,11.4973262,87,5.974025974
30032,25.2173913,52,6.623376623
30236,13.0044843,72,5
30093,7.272727273,46,0.064935065
30064,20.63492063,55,5.38961039
30518,22.60869565,57,7.532467532
30309,11.73469388,50,0.714285714
30034,14.86988848,76,6.818181818
30076,28.38709677,52,7.337662338
30097,23.29896907,70,9.675324675
30324,14.07624633,49,1.038961039
30339,16.83848797,50,1.980519481
30350,16.56050955,53,2.662337662
30519,20.66549912,58.5,6.883116883
30328,22.26720648,60,8.311688312
30039,16.81415929,55,3.376623377
30120,17.77003484,59,5.194805195
30228,16.83168317,87,9.350649351
30680,15.78947368,56,2.727272727
30126,19.02173913,57,5.25974026
30134,11.61971831,62,1.980519481
30038,11.67108753,95.5,6.428571429
30115,23.14049587,69,9.545454545
30316,19.6969697,51,3.831168831
30019,21.4953271,61,8.246753247
30152,25.2173913,54,7.467532468
30084,14.52702703,45,0.844155844
30305,13.77952756,74,5.649350649
30252,18.64111498,75,8.961038961
30102,16.43835616,49,1.688311688
30213,12.65822785,79,5.844155844
30311,21.22905028,60,7.792207792
30338,22.47191011,53.5,5.909090909
30294,10.18181818,73,3.896103896
30269,23.64217252,54,6.688311688
30092,18.78787879,47,2.077922078
30033,18.96551724,47,2.402597403
30344,17.72151899,57,4.350649351
30223,12.40875912,80,5.779220779
30180,16.97612732,65,7.272727273
30189,21.26865672,49,3.961038961
30329,20.47244094,55.5,5.454545455
30087,15.89403974,64,5.584415584
30238,9.130434783,59,1.233766234
30046,18.28571429,57,4.805194805
30014,15.74074074,86,8.571428571
30117,12.15469613,101,7.207792208
30341,15.17509728,52,1.428571429
30342,23.0958231,68,9.480519481
30060,10.12145749,56,1.103896104
30315,12.91390728,63,3.506493506
30030,20.08032129,54,4.74025974
30308,10.28806584,43,0.25974026
30265,18.78172589,62,6.558441558
30312,11.68831169,48,0.454545455
30068,23.75886525,60,8.863636364
30005,25.67049808,64.5,9.61038961
30274,9.160305344,62,1.493506494
30078,17.86833856,63,6.948051948
30215,15.40616246,70,6.233766234
30310,17.39130435,53,3.214285714
30214,15.22633745,84,7.987012987
30045,15.93830334,54,2.142857143
30306,21.42857143,62.5,8.701298701
30094,15.47169811,69.5,6.168831169
30082,19.64285714,48,2.987012987
30013,16.42512077,78,8.506493506
30534,18.68131868,64,7.727272727
30340,23.25581395,50,5.324675325
30008,10.20408163,46,0.38961039
30012,8.496732026,83,4.090909091
30345,21.42857143,56,6.298701299
30224,8.108108108,66,1.883116883
30143,16.03206413,72.5,7.402597403
30296,8.125,58,0.974025974
30655,16.04938272,77,8.051948052
30088,8.391608392,63,1.623376623
30327,17.17171717,80.5,9.090909091
30028,24.59770115,84,9.87012987
30168,12.12121212,61,2.272727273
30122,13.49206349,62,3.116883117
30297,8.139534884,46,0.12987013
30248,24.34554974,85,9.935064935
30260,8.988764045,63.5,1.753246753
30307,21.15384615,48,3.701298701
30291,5.917159763,61,1.168831169
30233,14.83253589,72.5,6.038961039
