5Yforecast2023.Household.Median.Income,ZIP.Code,CYE2018..Housing.Value.Median.Housing.Value._avg,5Yforecast2023..Median.Housing.Value._avg,CYE2018..Mean..Household.Income._avg,CYE2018..5.Year.Projected.Population.Growth._avg,CYE2018..Housing.Units.Vacant._avg,5Yforecast2023....Housing.Units..Vacant._avg,CYE2018.Median.Year.Structure.Built._avg,count,FILTER_Median_Value_Per_SQFT_2017.09_to_2018_08,Price_to_Rent_Ratio_2017.09_to_2018.08_avg,FILTER_Sale_Price_2017.08_to_2018.07_avg,FILTER_ZHVI,SCORING_price_to_rent_ratio_scaled_0_1,DISPLAY_state,DISPLAY_city,FILTER_days_on__market_bin,SCORING_market_health_index_scaled_0_1,FILTER_estimated_rent,SCORING_days_on_market_scaled_0_1,SCORING_buyer_seller_index_scaled_0_1,DaysOnMarket_Average,ForecastYoYPctChange,YoY,MarketHealthIndex,BuyerSellerIndex,PctPriceCut,median_value_per_sqft_avg_scaled_0_1,CYE2018.Median.Year.Built._avg_scaled_0_1,5Yforecast2023.Household.Median.Income_scale_0_1,CYE2018..Housing.Value.Median.Housing.Value._avg_scale_0_1,5Yforecast2023..Median.Housing.Value._avg_scale_0_1,CYE2018..Mean..Household.Income._avg_scale_0_1,CYE2018..5.Year.Projected.Population.Growth._avg_scale_0_1,CYE2018..Housing.Units.Vacant._avg_scale_0_1,5Yforecast2023....Housing.Units..Vacant._avg_scale_0_1,change_in_percent_vacant_23_less_18,SCORING_change_in_percent_vacant_23_less_18_scale_0_1,anual_income_to_monthly_rent_ratio,SCORING_annual_income_to_monthly_rent_ratio_scale_0_1,GreatSchoolRating,year_built_bin,SCORING_school_score,SCORING_year_built
92805.5,92124,463533.875,465430.0,106577.4375,1.13125,0.03125,0.025,1980.6875,16,365.4166667,20.1325,588116.6667,670000.0,0.44114339748,CA,San Diego,less than 60 days,0.6648943516,2946,0.0223404255319,0.2307692308,40.5,0.04348209,5.032136699,6.648943516,2.307692308,28.07017544,0.174188939334,0.932366174435,0.325764951596,0.427453604271,0.42687290761,0.280787551818,0.225000741818,4.28686211492E-4,3.40917945921E-4,-0.00625,0.621550449472,36.1769984725,0.21195483667,9,pre 2000,0.9,0.977083333333
98163.6,92126,448899.925,461455.4,102861.4,0.3135,0.13275,0.12425,1980.0,40,393.0833333,19.0775,540241.6667,585300.0,0.414181297759,CA,San Diego,less than 60 days,0.7436818119,2599,0.0212765957447,0.0256410256,40.0,0.035496327,3.739808579,7.436818119,0.256410256,16.77018634,0.188140863994,0.930779880018,0.35203087013,0.411835441376,0.422611630431,0.266569368636,0.210441826652,0.00182105902642,0.00169436219123,-0.0085,0.621144158172,39.5772989611,0.245324601608,8,pre 2000,0.8,1.0
121644.1,92127,583669.1,592819.8,141623.0,9.794,1.965,2.03,1988.6,10,372.0833333,20.90333333,866375.0,866600.0,0.460843193795,CA,San Diego,less than 60 days,0.8470515122,3972,0.0425531914894,0.2820512821,50.0,0.029113778,4.021125915,8.470515122,2.820512821,24.54545455,0.177550848865,0.95062298108,0.467134526304,0.555668577908,0.563450990319,0.414877756063,0.379229102994,0.0269557889786,0.0276825372088,0.065,0.63441634063,35.6553373615,0.206835374814,8,pre 2000,0.8,0.713333333333
104651.73913,92128,554198.217391,559602.869565,123237.826087,4.72043478261,0.35347826087,0.26347826087,1984.60869565,23,383.0,19.82083333,583808.3333,657100.0,0.433178290526,CA,San Diego,less than 60 days,0.9164480044,2975,0.0308510638298,0.1282051282,44.5,0.029761071,5.541278509,9.164480044,1.282051282,24.8502994,0.183055975794,0.941413695552,0.383836348535,0.524215617823,0.527838212277,0.344532994866,0.288901245351,0.0048490002079,0.00359297869962,-0.09,0.606427384426,41.424479357,0.263452404081,9,pre 2000,0.9,0.846376811594
121619.724138,92129,579390.965517,583893.344828,141050.517241,0.682413793103,0.252068965517,0.233448275862,1983.51724138,29,385.4166667,21.3675,719283.3333,785900.0,0.472705665874,CA,San Diego,less than 60 days,0.980113244,3137,0.031914893617,0.3461538462,45.0,0.037872503,5.902169519,9.80113244,3.461538462,29.51807229,0.184274668028,0.938895342361,0.467015033497,0.551102715565,0.55388069401,0.412687340942,0.217009829853,0.00345787167559,0.00318346826742,-0.0186206896552,0.619316625659,44.9635056555,0.29818359213,4,pre 2000,0.4,0.88275862069
158264.8,92130,817856.666667,818604.4,197531.533333,10.5926666667,0.33,0.289333333333,1995.2,15,480.3333333,21.54833333,978491.6667,1112700.0,0.477327131539,CA,San Diego,less than 60 days,0.940615937,4725,0.036170212766,0.2179487179,47.0,0.028326593,8.291970803,9.40615937,2.179487179,25.17730496,0.232139855421,0.965851407476,0.646652699325,0.805606534791,0.805520824587,0.628793188401,0.39344826563,0.00452692639335,0.00394555702746,-0.0406666666667,0.615335697369,41.8056155203,0.267192786504,9,pre 2000,0.9,0.493333333333
136145.294118,92131,662455.588235,664970.117647,163720.647059,3.94235294118,0.0,0.0,1984.88235294,17,375.4166667,21.2975,786025.0,848400.0,0.470916711391,CA,San Diego,less than 60 days,0.8815771302,3447,0.0398936170213,0.1025641026,48.75,0.028966289,5.970522108,8.815771302,1.025641026,23.8372093,0.179231803681,0.942045115231,0.538220766453,0.639753886875,0.640805315792,0.499427062625,0.275048567244,0.0,0.0,0.0,0.622679036416,47.4965613748,0.323042416875,5,pre 2000,0.5,0.837254901961
53744.4444444,92201,233737.296296,293319.296296,62943.6666667,9.34074074074,11.4222222222,11.3759259259,1987.11111111,27,163.25,11.8825,269525.0,260500.0,0.230302333308,CA,Indio,less than 90 days,0.4568429775,1798,0.109574468085,0.2924528302,81.5,0.054326296,2.801894238,4.568429775,2.924528302,10.9375,0.07223903177,0.947187612162,0.134283922297,0.182201953223,0.242348323022,0.113837421027,0.371159444659,0.15668957348,0.155130291984,-0.0462962962963,0.614319133129,35.0076010382,0.200478639894,7,pre 2000,0.7,0.762962962963
119678.0,92210,595648.666667,602935.333333,160994.333333,8.40333333333,34.8133333333,34.7866666667,1985.0,3,255.5,12.29916667,665541.6667,716200.0,0.240950871988,CA,Indian Wells,120+ days,0.7909128573,6073,0.202659574468,0.4811320755,125.25,0.032925161,5.743392884,7.909128573,4.811320755,8.333333333,0.118759455371,0.942316566682,0.457496516108,0.568453835723,0.574296129791,0.488995728721,0.354470193763,0.477567871234,0.474375957817,-0.0266666666667,0.617863732123,26.5098523519,0.117083693738,8,pre 2000,0.8,0.833333333333
87249.8888889,92211,434316.111111,476781.666667,110465.0,23.6611111111,33.7066666667,32.9122222222,1994.88888889,9,190.1666667,10.49583333,327791.6667,332800.0,0.19486399678,CA,Palm Desert,less than 90 days,0.4314321226,2469,0.120212765957,0.3867924528,86.5,0.032866587,3.289882061,4.314321226,3.867924528,11.04166667,0.0858127416541,0.965133569194,0.298530814709,0.396270786519,0.439043339378,0.29566201844,0.626113962988,0.462386663531,0.448814687827,-0.794444444444,0.479223096014,44.7407857432,0.295997870266,5,pre 2000,0.5,0.503703703704
