Zip,FILTER_Median_Value_Per_SQFT_2017-09_to_2018_08,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,FILTER_Sale_Price_2017-08_to_2018-07_avg,PctPriceCut,BuyerSellerIndex,MarketHealthIndex,FILTER_ZHVI,YoY,ForecastYoYPctChange,DaysOnMarket_Average,median_value_per_sqft_avg_scaled_0_1,SCORING_price_to_rent_ratio_scaled_0_1,SCORING_buyer_seller_index_scaled_0_1,SCORING_market_health_index_scaled_0_1,FILTER_days_on__market_bin,SCORING_days_on_market_scaled_0_1
7067,231.4166667,12.58,334141.6667,18.85245902,3.018867925,3.13354509,343700.0,5.558968059,0.095100378,84.0,0.10661455708522441,0.2481279869150758,0.3018867925,0.313354509,less than 90 days,0.1148936170212766
60070,178.75,11.26333333,,30.43478261,9.634551495,1.106200801,227000.0,-2.742073693,0.104312775,87.5,0.08005547150781644,0.21447860487106749,0.9634551495,0.11062008009999999,less than 90 days,0.12234042553191489
18466,53.83333333,6.631666667,,19.39393939,3.636363636,3.127330479,82400.0,15.73033708,0.115740291,81.5,0.017061691038830058,0.0961094499476092,0.3636363636,0.3127330479,less than 90 days,0.10957446808510639
90270,376.9166667,16.16333333,,,,,,,,,0.17998823333333333,0.3397054187431317,NA,NA,NA,NA
18612,102.0833333,11.1325,,27.10280374,10.0,5.697417484,182400.0,4.647160069,0.010767544,104.5,0.04139351149773071,0.21113496383756294,1.0,0.5697417484,less than 120 days,0.15851063829787235
45246,91.16666667,8.6275,,20.25316456,4.936708861,1.03576854,128000.0,4.746317512,0.075890625,58.75,0.03588838460413515,0.14711594980704845,0.4936708861,0.10357685400000001,less than 60 days,0.061170212765957445
61114,74.83333333,9.41,,24.46043165,9.333333333,1.934815633,148600.0,9.667896679,0.037166891,70.75,0.027651706167423098,0.16711390528763834,0.9333333333,0.1934815633,less than 90 days,0.08670212765957447
68136,150.75,12.09666667,253050.0,29.50819672,5.161290323,5.987432675,256900.0,6.113176373,-0.025118723,50.75,0.06593545133635906,0.23577568223057066,0.5161290323000001,0.5987432675,less than 60 days,0.04414893617021277
93013,589.75,19.62416667,,22.82608696,10.0,2.089490402,843100.0,2.930045172,-0.001241846,67.5,0.2873171961674231,0.428152180479951,1.0,0.2089490402,less than 90 days,0.0797872340425532
2019,194.1666667,12.305,300750.0,15.625,2.962962963,2.023201215,316000.0,5.898123324,0.112275316,59.75,0.08782988739283913,0.241099951442664,0.2962962963,0.20232012149999998,less than 60 days,0.06329787234042553
