RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
96225,90740,California,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718800,778300,778700,794600,736300,754300,734400,777e3,777600,796500,762900,758100,718100,766600,740100,796e3,822300,872500,841500,775200,725700,659600,681500,727300,801700,766200,741600,736200,786e3,785200,838800,820200,862700,834500,877700,829700,838200,805600,873400,852500,835300,800500,830700,876900,951800,966100,951900,92e4,958e3,936900,969800,891e3,933e3,856600,936100,831100,912400,892400,1011e3,996e3,993800,969900,912300,939100
72450,33147,Florida,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76e3,81500,79100,94100,89100,87800,75800,76200,79300,79900,86200,84200,88900,91200,98800,96800,98100,95600,106400,112700,117300,117800,118800,121100,122100,119200,119800,128e3,134400,138900,127500,124500,131300,142100,154800,150200,144200,136800,136200,141900,155600,173800,180400,179e3,165100,
93320,80247,Colorado,1184,104900,114800,108500,103900,90500,95700,98100,108200,108300,110200,105600,100200,99300,97300,94600,100800,99600,104600,106800,116900,119100,109300,104800,95600,96700,103900,108800,103400,89e3,88300,88200,89600,84400,86100,87300,89800,97800,101600,99300,97400,83100,88800,80900,88700,86200,99600,109600,99800,89700,80500,88400,83e3,85300,90800,102200,109800,108200,101100,102100,112300,119100,112600,114800,119500,121400,114900,116600,119600,112900,111800,111700,124700,127100,128400,128200,124300,128300,123500,129300,125800,133300,134e3,139200,134800,147500,158100,165e3,162200,159700,170300,168800,175700,176700,178800,178400,173400,178400,178700,178900,176400,174800,185700,186900,188600,180700,188e3,186500,193900,187700,192800,195200,206e3,211600,217600,208600,209900,201800,205800,205400,207e3,223600,232900,242e3,238900,224700,220700
92658,78749,Texas,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241800,245400,256500,268700,269600,259200,249800,248500,249700,248300,252300,254800,259600,263e3,271200,276100,280800,275800,269300,249800,263100,270300,288900,276300,286400,287300,293300,298700,296400,301900,301900,307800,308900,302500,301800,309e3,313400,318500,309900,306400,305900,310700,315700,322800,326600,330900,324500,323e3,312200,308900,312400,316200,321800,325300,331200,325600,315700,325500,336600,350500,348700,352e3,352400,342500,336300,339500,339200,347200,350600,346100,349200,346800,358400,364600,
85937,63119,Missouri,1186,179400,185100,177e3,180200,185200,192100,199200,187300,199900,209100,224300,208900,204400,202300,214300,202e3,192500,181900,184600,178700,178700,169400,199300,186300,192100,169100,178200,183900,189400,204700,225e3,222400,215500,198500,196900,192700,182900,189700,182900,181400,173400,179800,179400,171900,166700,169900,170700,173900,168800,173900,172600,175800,175500,170500,167e3,165200,172e3,169700,172e3,177100,191700,186200,185700,190700,193500,199300,184300,191200,189e3,193600,197100,189800,194600,193900,188900,188400,184300,190700,196600,199400,201200,201700,208e3,203700,202100,199e3,218200,220800,223600,218200,220400,220500,213600,215600,214300,223100,227600,226800,225200,220900,230200,219800,219700,211200,227700,229800,229e3,229900,225500,234800,228600,231600,228100,237500,225e3,229600,239500,253600,261e3,240400,251700,245800,249400,235900,226700,226800
74592,38018,Tennessee,1187,146700,146500,140200,140300,134600,132600,130100,131500,136400,138600,135900,133100,125e3,127500,131400,133800,131900,125200,133900,137200,139500,134100,136300,140800,139400,135700,133100,131e3,127700,125200,129700,134700,125700,120500,119100,127900,128300,119700,115500,123800,126100,125900,116200,122700,125200,124800,117100,112e3,108700,116300,115700,115800,110600,111200,116300,121700,126400,122e3,118700,114e3,112900,112500,116200,117800,121700,123e3,128400,129700,132400,128700,127900,133900,133500,133200,126600,130400,129700,131700,133500,145500,146e3,147400,138900,135800,135e3,143100,147100,146900,138900,134800,134500,135400,138600,142600,136100,141200,146e3,155700,152800,148400,148500,149600,147100,144100,141300,142300,139400,142800,145500,149900,146600,146400,146300,151700,159700,163700,171500,166100,165900,161500,165800,165700,162700,162600,161500,168500
100155,99206,Washington,1188,170200,171500,191200,189e3,183400,182200,182300,174800,169e3,161800,168600,157900,165400,166100,172100,18e4,183200,190200,183300,182600,179e3,181e3,174200,182200,180400,177100,163700,163600,165500,171300,160400,165600,171600,174100,163700,151400,151200,156900,154500,162300,161e3,169600,164600,161400,152800,146800,147900,140400,148100,152400,163900,155400,162900,165100,178700,171500,179e3,173200,172100,164200,166900,169e3,170500,171500,168e3,166800,170300,168800,171100,168600,167900,156100,152400,155800,170700,175500,176900,174100,172100,182800,180200,178600,169500,175100,177800,181e3,177500,176900,177700,18e4,181500,184500,187100,192400,195600,197400,198e3,191600,191600,190600,191200,195200,196300,200400,201700,203e3,221800,207800,213100,198700,215900,216900,224500,235500,230500,233800,232400,232800,236600,208500,219100,209e3,232100,235800,239700,241800
75581,40229,Kentucky,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139200,159800,158100,164600,146600,144600,135600,141300,146300,144100,142100,135e3,141200,139200,144300,139600,141600,142900,142900,144300,146100,153500,151800,148700,146e3,144300,146100,147700,150200,
82257,55407,Minnesota,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169600,159600,157800,166200,179700,193300,196600,203700,211e3,207400,202500,199500,196800,202300,203300,206300,203700,204500,215100,223200,222300,213400,21e4,206300,210800,203400,202100,204300,211e3,222600,230300,233600,230900,226900,230500,231700,225400,212600,201600,211900,224100,258800,257200,254100,241500
96792,92308,California,1191,207900,201600,200800,184400,169200,152900,154500,152300,151900,137300,123300,117600,108200,105400,94900,96500,91e3,91300,92400,101300,109100,108500,116700,117100,118200,113800,107600,110500,104400,111900,113700,116200,108e3,104500,103500,107600,102800,100200,102700,108e3,108900,104200,101100,97500,103800,104700,109300,101e3,94100,95500,101600,106e3,111800,119100,129900,132e3,126e3,120100,113e3,117300,120400,128200,132300,138400,137800,141700,142e3,144200,140900,144500,147e3,150300,151900,156300,160200,158900,162200,160800,175400,211500,204e3,202700,165600,175900,168900,166200,167600,173600,176900,176200,176500,18e4,184300,181200,185800,186200,189200,185900,183500,183300,185800,193200,194700,197200,207200,210400,209500,199900,201900,216100,215500,216800,208700,215700,226800,228700,228400,223800,219800,221200,228e3,234600,233100,227e3,222700,233200
