"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","95223","Arnold","CA",,,,2.18409059522165,84.62,,1.6545,296000,-0.134952766531714,3.75043813529618,0.0654054054054054,,,,52
"Zip","95228","Copperopolis","CA",,,,8.82405745062837,100,,,369800,-0.242783922309145,5.74778381469831,0.0437777176852352,,0.0733752620545073,0,97
"Zip","95236","Linden","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,6.64410992956774,50,,,453600,-0.482667836770513,12,0.0367548500881834,,0.0350877192982456,0,54
"Zip","95237","Lockeford","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,5.80997099848087,100,,,358800,-0.1669449081803,4.18118466898955,0.0405602006688963,,,,54
"Zip","95240","Lodi","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,7.05979837039083,95.83,2.1301,,319300,-0.0938673341677096,6.18556701030928,0.0503538991544004,,0.0531803962460897,0.0196078431372549,53
"Zip","95242","Lodi","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,7.12954011876813,89.66,4.7027,0.9188,388600,-0.154162384378212,3.79273504273504,0.0427895007720021,,0.0407485662541503,0.0148148148148148,56.5
"Zip","95247","Murphys","CA",,,,4.60640795470239,80,,,350700,-0.170794192997438,5.69620253164557,0.0558825206729399,,,,81
"Zip","95249","San Andreas","CA",,,,9.65267228283386,100,,,224100,-0.576752440106477,7.43048897411313,0.107219991075413,,0.0441176470588235,0,81
"Zip","95252","Valley Springs","CA",,,,5.96188371771855,75,,2.7196,301100,-0.495703899537343,9.17331399564902,0.0896678844237795,,0.0519630484988453,0.0777777777777778,91
"Zip","95255","West Point","CA",,,,9.40961193205358,100,,,199400,-0.3996003996004,9.9834528405957,0.103179538615848,,,,81
"Zip","95258","Woodbridge","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,9.38337246236708,100,,,465100,-0.128838307923556,9.38381937911571,0.0316555579445281,,0.036697247706422,0,54
"Zip","95301","Atwater","CA","Merced, CA","Merced, CA",,6.33061731804999,,,,248800,-0.160513643659711,5.20084566596195,0.0642041800643087,,0.0684371807967314,0.0447761194029851,67
"Zip","95304","Tracy","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,6.31266399668554,75,,,621600,-0.0643086816720257,9.30191665201336,0.0278137065637065,,0.0576323987538941,0,44
"Zip","95307","Ceres","CA","Modesto, CA","Modesto, CA",,4.20729181052341,90,7.6136,1.5259,282800,-0.176491351923756,7.4468085106383,0.057093352192362,,0.0688294607628233,0.0159235668789809,48
"Zip","95311","Coulterville","CA",,,,4.33089352299406,,,,178500,0.168350168350168,6.69456066945607,0.046577030812325,,0.208333333333333,0.0857142857142857,87
"Zip","95315","Delhi","CA","Merced, CA","Merced, CA",,9.35437094323988,,,,252600,-0.0395726157499011,10.5954465849387,0.0467656373713381,,0.0675990675990676,0.0114942528735632,77
"Zip","95316","Denair","CA","Modesto, CA","Modesto, CA",,9.77696450766469,100,,,338300,-0.0295508274231678,9.23474329996771,0.0414011232633757,,0.0377113133940182,0,56
"Zip","95320","Escalon","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,7.24278414583621,100,,,389300,-0.358331200409521,3.23521612304429,0.0301900847675314,,0.0438782731776362,0,54
"Zip","95322","Gustine","CA","Merced, CA","Merced, CA",,9.77282143350366,,,,257000,0.116867939228672,5.76131687242798,0.059669260700389,,0.0715811965811966,0,77
"Zip","95324","Hilmar","CA","Merced, CA","Merced, CA",,9.70377019748653,,,,290900,-0.0687049124012367,7.58136094674556,0.0755379855620488,,0.0767857142857143,0,77
"Zip","95326","Hughson","CA","Modesto, CA","Modesto, CA",,7.56525341803618,100,,,350400,-0.142490738102023,5.86102719033233,0.0448772831050228,,0.0505952380952381,0.0392156862745098,56
"Zip","95328","Keyes","CA","Modesto, CA","Modesto, CA",,9.68029277724071,100,,,211500,-0.0944733112895607,6.98027314112291,0.0779243498817968,,0.06158357771261,0,56
"Zip","95330","Lathrop","CA","Stockton-Lodi, CA","Stockton-Lodi, CA",,1.96865073884823,87.5,5.9649,,402100,-0.223325062034739,4.14400414400414,0.0197513056453618,,0.0577160493827161,0.0267379679144385,49.5
