Zip,PctPriceCut,BS_DaysOnMarket,BuyerSellerIndex,MarketHealthIndex,ZHVI,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,MH_DaysOnMarket,DaysOnMarket_Average
7840,20.60085837,91.0,6.323529412,1.94862588,268400.0,7.704654896,0.035622206,0.119023398,0.063247863,88.0,89.5
8865,17.84386617,114.0,6.323529412,2.654329512,151600.0,3.622693096,0.060692612,0.238869258,0.08678501,116.0,115.0
18015,16.875,77.0,2.058823529,0.911476315,148100.0,8.817046289,0.014564483,0.108274648,0.073170732,73.0,75.0
18052,18.10344828,63.5,0.882352941,2.537632924,184300.0,5.858701895,0.044650027,0.091485728,0.050666667,58.5,61.0
18045,26.94610778,71.0,5.588235294,0.524789394,227900.0,3.638017281,0.027077666,0.085160819,0.083690987,66.0,68.5
18064,30.25210084,75.0,7.941176471,3.774340561,244200.0,3.343207787,0.028685504,0.059475351,0.022813688,65.5,70.25
18062,24.46043165,64.0,3.235294118,2.930534457,261400.0,5.701577032,0.044984698,0.05010395,0.037344398,63.5,63.75
18067,23.76237624,68.0,3.529411765,2.338765364,200600.0,10.09879254,0.02888335,0.064878182,0.097046414,64.5,66.25
18235,22.5,134.0,10.0,0.56760116,169100.0,3.678724709,0.068758131,0.078832753,0.055248619,77.0,105.5
18049,28.73563218,71.5,7.352941176,2.859411683,203600.0,2.724520686,0.046552063,0.062060141,0.020618557,69.0,70.25
18020,20.95238095,80.0,4.852941176,2.570777517,245200.0,5.553164012,0.032267537,0.054842767,0.055045872,67.0,73.5
18109,13.20754717,67.5,0.294117647,2.09777655,128600.0,7.976490344,0.08596423,0.168795114,0.055921053,63.0,65.25
18013,25.53191489,95.0,9.705882353,1.474934401,167600.0,1.88449848,0.02877685,0.131598513,0.070621469,83.0,89.0
18040,25.0,81.0,8.235294118,0.298991852,260000.0,3.133677112,0.024261538,0.083851852,0.077738516,73.5,77.25
7882,22.92993631,106.0,9.411764706,0.073884823,212500.0,1.19047619,0.033708235,0.157613169,0.08616188,102.0,104.0
18036,21.50537634,97.0,7.647058824,6.475624914,284600.0,4.825046041,0.034989459,0.05553336,0.035971223,93.0,95.0
18055,13.69863014,75.5,1.176470588,3.933158404,204500.0,7.744994731,0.028469438,0.078574692,0.034883721,80.0,77.75
18080,17.77777778,98.0,4.411764706,5.036597155,181200.0,2.546689304,0.050485651,0.085327784,0.048780488,91.5,94.75
18071,14.0,88.0,2.647058824,1.612346361,165400.0,4.683544304,0.065139057,0.088424437,0.027272727,77.0,82.5
18031,22.72727273,73.0,4.117647059,3.006490816,285200.0,3.784570597,0.037131837,0.065948003,0.048076923,75.5,74.25
18229,14.04958678,146.5,5.294117647,0.213368319,149900.0,2.741603838,0.077931955,0.15,0.045751634,84.0,115.25
18210,17.88321168,110.5,6.764705882,0.399806657,128000.0,7.925801012,0.093617188,0.247007617,0.088105727,86.0,98.25
18088,25.0,85.0,8.529411765,3.427703356,201600.0,7.749866382,0.030277778,0.058507061,0.011494253,71.0,78.0
7825,22.13740458,116.0,9.117647059,0.022096396,291300.0,0.344471237,0.027322348,0.092047128,0.096,99.0,107.5
7823,18.88888889,99.0,5.882352941,0.88661787,211200.0,7.535641548,0.035899621,0.159620362,0.07027027,100.0,99.5
18034,16.66666667,76.0,1.470588235,4.079547024,288800.0,6.804733728,0.042295706,0.058130979,0.037974684,84.5,80.25
18072,26.53061224,83.5,8.823529412,0.085623533,161200.0,-1.466992665,0.049584367,0.120223672,0.093023256,71.0,77.25
8886,20.58823529,98.0,7.058823529,0.148460157,281700.0,1.623376623,0.037035854,0.106824926,0.125,99.0,98.5
79109,28.99022801,70.0,6.363636364,3.389034664,159200.0,2.182284981,0.028090452,,,57.0,63.5
79107,21.73913043,113.0,10.0,3.190857616,62400.0,0.483091787,0.050480769,,,71.5,92.25
99504,29.15451895,85.0,9.230769231,3.155641486,293100.0,-0.170299728,-0.009232344,0.091252598,0.016563147,83.0,84.0
99507,24.56647399,70.0,2.307692308,2.438199144,328400.0,0.27480916,-0.008410475,0.076801683,0.015981735,70.0,70.0
99508,24.47916667,107.0,8.461538462,2.025272752,268300.0,-1.069321534,-0.011084607,0.088590141,0.031128405,93.0,100.0
99654,21.875,88.0,4.615384615,4.287391244,263000.0,2.734375,-0.016996198,0.077386935,0.016233766,88.0,88.0
99645,18.12297735,71.5,0.769230769,2.54522856,262900.0,1.978277735,-0.018136173,0.072901325,0.015151515,71.5,71.5
99577,27.32240437,77.0,5.384615385,4.151360309,395600.0,-0.727728984,0.006074317,0.093396653,0.002421308,79.0,78.0
99502,28.25112108,80.0,6.923076923,4.419279105,337800.0,0.625558534,-0.004564831,0.070150922,0.003984064,80.0,80.0
99501,19.75308642,126.5,6.153846154,4.847396768,268200.0,-0.334448161,-0.009906786,0.1531151,0.013793103,107.5,117.0
99515,23.65591398,76.0,3.846153846,3.434608479,386700.0,-0.386398764,-0.00998707,0.064852345,0.013392857,74.0,75.0
99516,22.30769231,66.0,1.538461538,3.726004695,498000.0,1.715686275,4.07631E-4,0.070573409,0.0,70.0,68.0
99517,18.25396825,81.0,3.076923077,7.145421903,318400.0,1.143583227,-0.014469221,0.080777096,0.006329114,71.0,76.0
99518,44.33962264,76.0,7.692307692,1.475624914,260600.0,0.307929176,-0.011508058,0.094530722,0.021428571,70.0,73.0
99567,29.35779817,93.0,10.0,8.457395387,418400.0,2.725263933,-0.003224187,0.062034739,0.0,78.0,85.5
48197,18.99641577,52.0,2.5,5.434332275,212300.0,7.766497462,0.101516722,0.052618328,0.028708134,49.0,50.5
48103,19.38534279,51.0,1.666666667,7.733047922,370900.0,8.768328446,0.065750876,0.035772547,0.006514658,52.0,51.5
48198,12.85714286,50.0,0.833333333,3.580306587,129300.0,16.48648649,0.164725445,0.11454584,0.027726433,49.0,49.5
48104,18.08510638,56.5,5.0,8.906228421,400400.0,7.202141901,0.060759241,0.048888889,0.0,55.5,56.0
48105,18.27956989,55.0,3.75,8.13630714,370600.0,7.451435199,0.06293578,0.04575863,0.0,56.0,55.5
48108,22.44897959,54.0,8.333333333,6.314735534,284900.0,6.624251497,0.082937873,0.04890644,0.0,56.0,55.0
